id,name,description,collection,role,rarity,image
PL_001,Dilapidated Plane,"After flying through a Bleed, perforated and burnt, this biplane was destined to become scrap.",House of Arkham,General,Uncommon,images/Customization/Charm/PL_001.png
PL_002,Renovated Plane,"As time passed, though, it seemed to be in better shape than originally thought.",House of Arkham,General,Rare,images/Customization/Charm/PL_002.png
PL_003,Rehabilitated Plane,"With no work by the engineers, it was curiously back in flying shape.",House of Arkham,General,Very Rare,images/Customization/Charm/PL_003.png
PL_004,Contaminated Plane,But it no longer belonged to the war effort. It belonged to… something else.,House of Arkham,General,Ultra Rare,images/Customization/Charm/PL_004.png
PL_005,Moonstone Café Logo,Mikaela’s café was emblazoned with a logo that was undoubtedly Mikaela.,And Soon the Fog,General,Uncommon,images/Customization/Charm/PL_005.png
PL_006,Moonstone Café Cup,"Black coffee is on the menu, but black magic is strictly forbidden.",And Soon the Fog,General,Rare,images/Customization/Charm/PL_006.png
PL_007,Meg-alodon,"Her running team came up with some less-than-flattering nicknames for her, but she imagined herself like a shark: it’s only a matter of time before she would catch anyone in her path.",Survivor Memorabilia,General,Rare,images/Customization/Charm/PL_007.png
PL_008,Mikaela Doll,"A gifted storyteller, Mikaela was quick to offer a helping hand—be it a hot cup of joe or a mystical spell",Vinyl Dolls,General,Very Rare,images/Customization/Charm/PL_008.png
PL_009,Short-Distance Gold,She shattered regional records at her last high school meet. Those records remain unbroken to this day.,Survivor Memorabilia,General,Uncommon,images/Customization/Charm/PL_009.png
PL_010,Ghost Face’s Camera,He experimented with cameras as a way to document his murders.,Killer Memorabilia,General,Rare,images/Customization/Charm/PL_010.png
PL_011,Carl Doll,"When his coworker called in sick, he reluctantly covered the shift. It would be his last.",Vinyl Dolls,General,Very Rare,images/Customization/Charm/PL_011.png
PL_012,Exposed Film Roll,A roll of film he never developed. Its contents have been exposed to the light and are lost forever.,Killer Memorabilia,General,Uncommon,images/Customization/Charm/PL_012.png
PL_013,Witchy Old Broom,"There are for more efficient brooms on the market, but it’s not about that: it’s about the aesthetic.",And Soon the Fog,General,Common,images/Customization/Charm/PL_013.png
PL_014,Dramatic Death,"These masks represent the wide range of human emotion: the joy of killing, and the sorrow of not having someone to kill anymore.",Killer Memorabilia,General,Common,images/Customization/Charm/PL_014.png
PL_015,Gravy Boat,A vessel with the powerful ability to make dry turkey palatable.,Autumn Chill,General,Common,images/Customization/Charm/PL_015.png
PL_016,Crushed Car,A tiny toy automobile found on the dashboard of a compacted car from Autohaven.,Killer Memorabilia,General,Rare,images/Customization/Charm/PL_016.png
PL_017,Acceptance Package,"With a full scholarship for track, Meg was excited to start a new chapter of her life at college. This letter was as close as she got.",Survivor Memorabilia,General,Common,images/Customization/Charm/PL_017.png
PL_020,Undead Crow,"Even in death, that infernal cawing never stops.",Tricks and Treats,General,Rare,images/Customization/Charm/PL_020.png
PL_021,Phantasmal Painting,Is it a trick of the light? Or is something really emerging,House of Arkham,General,Ultra Rare,images/Customization/Charm/PL_021.png
PL_022,Vacation Crow,"Occasionally, the crows go on holiday to creepily stare at tourists.",Autumn Chill,General,Rare,images/Customization/Charm/PL_022.png
PL_023,Frightening Stalker,Nothing appealed to him more than a good scary story.,Beneath The Mask,General,Common,images/Customization/Charm/PL_023.png
PL_024,Meticulous Stalker,"He planned his murders tirelessly, architecting a death that would terrify the world.",Beneath The Mask,General,Common,images/Customization/Charm/PL_024.png
PL_025,Furious Stalker,"An underground paper made a joke of him, and threatened to destroy his legacy.",Beneath The Mask,General,Common,images/Customization/Charm/PL_025.png
PL_026,Chaotic Stalker,"All of his careful planning fell to pieces when he saw the paper's headquarters, and he entered a murderous rage.",Beneath The Mask,General,Common,images/Customization/Charm/PL_026.png
PL_027,Satisfied Stalker,"Without his mask, or his method, he created a new story that night.",Beneath The Mask,General,Uncommon,images/Customization/Charm/PL_027.png
PL_028,The Hanged Man Card,"The first of a series of tarot cards that came to Mikaela in a dream. She felt paralyzed in her writing, unable to create or perform.",And Soon The Fog,General,Common,images/Customization/Charm/PL_028.png
PL_029,The Tower Card,"The second tarot card from her dream. Memories of forgetting her words, freezing on stage, choking flooded her mind.",And Soon The Fog,General,Common,images/Customization/Charm/PL_029.png
PL_030,The Judgement Card,The third card from her dream. She pondered what storytelling even meant to her. Was it created? Or remembered,And Soon The Fog,General,Common,images/Customization/Charm/PL_030.png
PL_031,The Death Card,The fourth card from her dream. She shed the rules imposed on her by prescriptivist teachers and wrote with her heart.,And Soon The Fog,General,Common,images/Customization/Charm/PL_031.png
PL_032,The Magician Card,"The fifth card from her dream. Once she found her voice, the audience listened on bated breath, enraptured.",And Soon The Fog,General,Uncommon,images/Customization/Charm/PL_032.png
PL_042,Lil’ Monster,Where did they get the tiny body parts to build him,,General,Special Event,images/Customization/Charm/PL_042.png
PL_043,Megcrow,This is the longest she has ever stood still.,,General,Special Event,images/Customization/Charm/PL_043.png
PL_044,Creepy Corn,Take a bite of it before it takes a bite of you.,,General,Special Event,images/Customization/Charm/PL_044.png
PL_045,PUBG Frying Pan,"When it’s one versus all, sometimes you have to make do with any weapon you can find.",,General,Rare,images/Customization/Charm/PL_045.png
PL_046,Voxel Trapper,A 3D representation of a terrifying son of a coal magnate.,,General,Rare,images/Customization/Charm/PL_046.png
PL_047,Voxel Yui,A 3D representation of a hardened street racer.,,General,Rare,images/Customization/Charm/PL_047.png
PL_048,Voxel Spirit,A 3D representation of a chilling ghost.,,General,Rare,images/Customization/Charm/PL_048.png
PL_049,Hand-Painted Dwight,A lovingly painted miniature Dwight… but painted by whom,,General,Rare,images/Customization/Charm/PL_049.png
PL_050,Candy Spiders,A delicious gummy layer surrounds what may or not be an actual spider.,,General,Special Event,images/Customization/Charm/PL_050.png
PL_051,Bloodpoint Gummies,Do they taste like cherry? Or do they just taste like blood? Only one way to find out. Design inspired by <b>Maomi</b>.,,General,Very Rare,images/Customization/Charm/PL_051.png
PL_052,Have You Seen This Horse,"Maurice is missing, but in his place, a milk carton with a picture of Maurice mysteriously appeared. Design inspired by <b>PotatoGun13</b>.",,General,Very Rare,images/Customization/Charm/PL_052.png
PL_053,Warrior Puppers,A bright light who will always have a place fighting alongside friends in The Fog.,,General,Uncommon,images/Customization/Charm/PL_053.png
PL_054,Silk Omamori,"It’s difficult to find something that provides protection in The Entity’s Realm, but it’s worth a shot.",,General,Rare,images/Customization/Charm/PL_054.png
QU_001,Dwelf Figurine,The only toy that won't mind being forgotten in the locker.,Deck the Trials,Survivor,Special Event,images/Customization/Charms/QU_001.png
QU_002,"Trickster, New In Box",A collector piece for his most obsessed fans. Look out for sharp packaging.,Deck the Trials,Killer,Special Event,images/Customization/Charms/QU_002.png
QU_003,Gingerbrat,It will make you regret that sweet tooth.,,General,Artifact,images/Customization/Charms/QU_003.png
QU_004,A Friendly Face,A reminder of the good times.,Deck the Trials,General,Special Event,images/Customization/Charms/QU_004.png
QU_006,Dog House,A cozy place to hide during the bloodshed. Not designed for Survivors.,Cats & Dogs,General,Rare,images/Customization/Charms/QU_006.png
QU_007,Toy Mouse,An excellent toy to play with before the killing begins.,Cats & Dogs,General,Rare,images/Customization/Charms/QU_007.png
QU_008,Raven Heart,"A heart, full of ominous and unforgettable memories.",,General,Rare,images/Customization/Charms/QU_008.png
QU_009,Home Sweet Home,Going inside wasn’t such a good idea after all.,,General,Very Rare,images/Customization/Charms/QU_009.png
QU_010,Infernal Box,"An ancient, damaged chest containing unknown evil.",Greek Legends,General,Very Rare,images/Customization/Charms/QU_010.png
QU_011,Maurice’s stocking,Hay and deep-fried fingers for the Clown’s favorite horse.,Deck the Trials,General,Special Event,images/Customization/Charms/QU_011.png
QU_012,One Million Souls,Gives a new meaning to doomscrolling.,,General,Rare,images/Customization/Charms/QU_012.png
RO_001,Scroll of Toscano,Vittorio's writings about ancient societies and obscure guardians of knowledge.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/RO_001.png
RO_002,Duke of Portoscuro,A medallion engraved with a portrait of Vittorio's uncle.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/RO_002.png
RO_003,Howling Fire,"Vittorio's village, burnt to the ground.",Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/RO_003.png
RO_004,Vittorio Figurine,A curious man driven to learn the secrets of The Entity’s Realm.,Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/RO_004.png
RO_005,Porcelain Vase,"Hard to make, easy to break.",Survivor Memorabilia,Survivor,Common,images/Customization/Charms/RO_005.png
RO_006,Lucky Coins,Coins bound together for good luck.,Survivor Memorabilia,Survivor,Uncommon,images/Customization/Charms/RO_006.png
RO_007,Imperial Guardian,They are known to protect from harmful spirits and people.,Of Blood and Rust,Survivor,Rare,images/Customization/Charms/RO_007.png
RO_008,Trio of Agony,"Three weapons, one goal.",Killer Memorabilia,Killer,Common,images/Customization/Charms/RO_008.png
RO_009,The Empty Flagon Inn,Closed for renovations.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/RO_009.png
RO_010,Lethal Cocktail,The warm embrace of a mother’s love.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/RO_010.png
RO_011,Spiked Locker,There’s no getting out of this locker once you’re in.,Killer Memorabilia,Killer,Very Rare,images/Customization/Charms/RO_011.png
RO_012,Childhood Memory,"Anna still holds it in her arms sometimes at night, while humming her mother’s lullaby.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/RO_012.png
RO_013,Wanted: Beast Woman,It says on the paper that her favorite prey is... Humans.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/RO_013.png
RO_014,Elk Antlers,"She kept the antlers among her possessions, a reminder of her past.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/RO_014.png
RO_015,A Dreadful Deal,The contract Vittorio signed would end up his worst nightmare.,,General,Common,images/Customization/Charms/RO_015.png
RO_016,Armored Snow,"Well-protected, but weak to fire.",,General,Rare,images/Customization/Charms/RO_016.png
RO_017,Broken Mill,Long past its days of turning grist into something useful.,,General,Rare,images/Customization/Charms/RO_017.png
RO_018,Floating Bastion,"An impossible, frozen castle, floating above a winter sky.",,General,Ultra Rare,images/Customization/Charms/RO_018.png
RO_019,MacMillan Estate Portal,A one-way ticket to the old mine.,,Survivor,Common,images/Customization/Charms/RO_019.png
RO_020,Rancid Abattoir Portal,A one-way ticket to a slaughterhouse.,,Survivor,Common,images/Customization/Charms/RO_020.png
RO_021,The Pale Rose Portal,A one-way ticket to a foul marsh.,,Survivor,Common,images/Customization/Charms/RO_021.png
RO_022,Temple of Purgation Portal,A one-way ticket to a place of sacrifice.,,Survivor,Common,images/Customization/Charms/RO_022.png
RO_023,Blood Lodge Portal,A one-way ticket to a twisted cabin.,,Survivor,Uncommon,images/Customization/Charms/RO_023.png
RO_024,Mark of the Carnifex,The Carnifex would destroy everything in his path.,,Killer,Common,images/Customization/Charms/RO_024.png
RO_025,Mark of the Assassin,Nobody could escape the Assassin’s quick pace.,,Killer,Common,images/Customization/Charms/RO_025.png
RO_026,Mark of the Jailer,"The Jailer was a tireless pursuer, exhausting his prey.",,Killer,Common,images/Customization/Charms/RO_026.png
RO_027,Guard Company Crest,A crest that struck fear in even the bravest opponents.,,Killer,Common,images/Customization/Charms/RO_027.png
RO_028,Knight’s Standard,A filthy flag drenched with innocent blood.,,General,Uncommon,images/Customization/Charms/RO_028.png
RO_029,Forgotten Shield,An old shield left on a forgotten battlefield.,,General,Uncommon,images/Customization/Charms/RO_029.png
RO_030,Rising Shield,An ancient mechanism in the shield began to take shape.,,General,Rare,images/Customization/Charms/RO_030.png
RO_031,Dragon Shield,"A mighty dragon appeared on the surface, gripping the shield’s edge.",,General,Very Rare,images/Customization/Charms/RO_031.png
RO_032,Immortal Shield,"With its majestic wings expanding, the dragon and the shield became one.",,General,Ultra Rare,images/Customization/Charms/RO_032.png
RO_033,Lunar Rabbit,"Vigilant and quick-witted, the rabbit knows how to adapt to every situation.",,General,Special Event,images/Customization/Charms/RO_033.png
RO_034,Quiet Rabbit,A golden statuette that attracts luck and mercy.,,General,Special Event,images/Customization/Charms/RO_034.png
RO_035,Trickster Keychain,For those who survived the trial of love.,Hooked on You Collection,General,Uncommon,images/Customization/Charms/RO_035.png
RW_001,INNER EYE,A mysterious frequency awakens the inner eye of those who seek the truth.,Awakening,General,Uncommon,images/Customization/Charms/RW_001.png
RW_002,PROFOUND INSIGHT,"The more you see, the more you learn.",Awakening,General,Rare,images/Customization/Charms/RW_002.png
RW_003,ETHEREAL VISION,A sharper focus for those who go deeper than most.,Awakening,General,Very Rare,images/Customization/Charms/RW_003.png
RW_004,AURIC SIGHT,Opening the gates of awareness provides perception that goes beyond the ordinary.,Awakening,General,Ultra Rare,images/Customization/Charms/RW_004.png
RW_005,PRO-TECHNICIAN,Nothing beats a technician who performs the most demanding Skill Checks during stressful repairs.,,Survivor,Common,images/Customization/Charms/RW_005.png
RW_006,NEON ARCADE,A lively arcade as a symbol for what life is truly about.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/RW_006.png
RW_007,PRO-EMPATHY,An acute awareness that reveals those in pain.,,Survivor,Common,images/Customization/Charms/RW_007.png
RW_008,FICUS ELASTICA PLANT,The first house plant Claudette got for her dorm after leaving Montréal.,Survivor Memorabilia,Survivor,Rare,images/Customization/Charms/RW_008.png
RW_009,Claudette Morel Figurine,"An expert botanist, Claudette Morel was a brilliant science student with a prolific future—that is until she took a stroll that changed her life forever.",Vinyl Dolls,Survivor,Very Rare,images/Customization/Charms/RW_009.png
RW_010,TRAPPER HEADSTONE,A paleolithic slab of stone bearing the effigy of one serving The Entity.,Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/RW_010.png
RW_011,HEAVY-DUTY BEAR TRAP,The perfect tool to ensnare all kinds of prey.,Killer Memorabilia,Killer,Rare,images/Customization/Charms/RW_011.png
RW_012,SADISTIC PUPPET,"A shadow creeping up the wall, an eerie presence lurking. Few know what this sadistic plaything is up to next.",Horrible Dolls,Killer,Very Rare,images/Customization/Charms/RW_012.png
RW_014,JACK-O'-LANTERN,A sadistic grin for a night of trick-or-terror.,Hallowed Catalyst,General,Uncommon,images/Customization/Charms/RW_014.png
RW_015,MACMILLAN MINING CORP.,The corporation that mined both minerals and human lives.,Realm Memorabilia,General,Uncommon,images/Customization/Charms/RW_015.png
RW_016,BENEVOLENT CREST,The crest of those brave enough to venture through the black Fog.,,Survivor,Common,images/Customization/Charms/RW_016.png
RW_017,BRAND NEW PART,A challenging mechanical part that rewards the bold and punishes the reckless.,Realm Memorabilia,General,Rare,images/Customization/Charms/RW_017.png
RW_018,PRO-NO-ONE-ESCAPES-DEATH,Hope can be the deadliest trap. Strike when they believe the worst is behind them. They'll be ripe for the taking.,,Killer,Uncommon,images/Customization/Charms/RW_018.png
RW_019,DANGER AHEAD,"There are many hidden tunnels, caution signs, and blocked exits on the MacMillan estate. Everyone suspected the mine was used for something else…",Killer Memorabilia,Killer,Uncommon,images/Customization/Charms/RW_019.png
RW_020,CHASER CREST,"No one can escape the clutches of a skilled, bloodthirsty hunter. No matter the chase, no matter the prey, death is the result.",,Killer,Uncommon,images/Customization/Charms/RW_020.png
RW_021,KILLER STONE,A badge that signals a profound loyalty to The Entity. There is no greater thrill than to fuel what urges to kill.,,Killer,Common,images/Customization/Charms/RW_021.png
RW_022,NURSE'S WOODEN HORSE,"A catatonic patient used to play with this horse, until his nurse suffocated him with his toy.",Killer Memorabilia,Killer,Rare,images/Customization/Charms/RW_022.png
RW_023,PUSTULA FLOWER,"A rare flower secreting a thick, pungent nectar during the “Hallowed Blight,” according to Vigo's journal.",Hallowed Catalyst,General,Rare,images/Customization/Charms/RW_023.png
RW_024,NECTAR VIAL,"A glass vial filled with nectar, which can be distilled into a putrid serum that holds unknown properties.",Hallowed Catalyst,General,Ultra Rare,images/Customization/Charms/RW_024.png
RW_025,MOUSE TRAPPER,"Setting up traps around the mine was easy. He'd watch rodents suffer, squirming while waiting for the inevitable. Suddenly, he had all the power in the world.",Budding Talent,Killer,Common,images/Customization/Charms/RW_025.png
RW_026,SQUIRREL TRAPPER,He ventured outside for a new challenge. Each day he'd practice how to patrol areas in the woods to catch more challenging prey.,Budding Talent,Killer,Common,images/Customization/Charms/RW_026.png
RW_027,WOLF TRAPPER,Nothing is more fulfilling than to hunt a pack of opponents. This he learned early on while hunting with his father.,Budding Talent,Killer,Common,images/Customization/Charms/RW_027.png
RW_028,BEAR TRAPPER,"Hunting bears was his next move. They offered a real challenge, being stronger and bolder. He designed a special set of steel-jaw traps for the occasion.",Budding Talent,Killer,Common,images/Customization/Charms/RW_028.png
RW_029,SADISTIC TRAPPER,No limits. Everything was fair game now. Even humans... Especially humans...,Budding Talent,Killer,Uncommon,images/Customization/Charms/RW_029.png
RW_030,INTRODUCTION TO BOTANY,She found the branch of Biology that spoke to her soul.,Budding Talent,Survivor,Common,images/Customization/Charms/RW_030.png
RW_031,HERBALISM,She discovered the nature of plants and their medicinal properties.,Budding Talent,Survivor,Common,images/Customization/Charms/RW_031.png
RW_032,PLANT IDENTIFICATION,"She studied the taxonomic diversity of plants, training her eye to recognize each kind.",Budding Talent,Survivor,Common,images/Customization/Charms/RW_032.png
RW_033,PLANT BIOCHEMISTRY,She began experimenting with plants to produce an array of chemical substances.,Budding Talent,Survivor,Common,images/Customization/Charms/RW_033.png
RW_034,EXPERT BOTANIST,"Her in-depth understanding of each species' uniqueness inspired her techniques that targeted their differences. The specimen in her care always grew faster, stronger, and healthier.",Budding Talent,Survivor,Uncommon,images/Customization/Charms/RW_034.png
S01_PCharm001,Iridescent Bond Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S01_PCharm001.png
S01_PCharm002,Iridescent Prove Thyself Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S01_PCharm002.png
S01_PCharm003,Iridescent Leader Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S01_PCharm003.png
S02_PCharm001,Iridescent Quick & Quiet Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S02_PCharm001.png
S02_PCharm002,Iridescent Sprint Burst Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S02_PCharm002.png
S02_PCharm003,Iridescent Adrenaline Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S02_PCharm003.png
S03_PCharm001,Iridescent Empathy Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S03_PCharm001.png
S03_PCharm002,Iridescent Botany Knowledge Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S03_PCharm002.png
S03_PCharm003,Iridescent Self-Care Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S03_PCharm003.png
S04_PCharm001,Iridescent Iron Will Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S04_PCharm001.png
S04_PCharm002,Iridescent Calm Spirit Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S04_PCharm002.png
S04_PCharm003,Iridescent Saboteur Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S04_PCharm003.png
S05_PCharm001,Iridescent Balanced Landing Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S05_PCharm001.png
S05_PCharm002,Iridescent Urban Evasion Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S05_PCharm002.png
S05_PCharm003,Iridescent Streetwise Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S05_PCharm003.png
S06_PCharm001,Iridescent Sole Survivor Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S06_PCharm001.png
S06_PCharm002,Iridescent Object of Obsession Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S06_PCharm002.png
S06_PCharm003,Iridescent Decisive Strike Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S06_PCharm003.png
S07_PCharm001,Iridescent Open-Handed Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S07_PCharm001.png
S07_PCharm002,Iridescent Up the Ante Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S07_PCharm002.png
S07_PCharm003,Iridescent Ace in the Hole Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S07_PCharm003.png
S08_PCharm001,Iridescent Left Behind Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S08_PCharm001.png
S08_PCharm002,Iridescent Borrowed Time Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S08_PCharm002.png
S08_PCharm003,Iridescent Unbreakable Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S08_PCharm003.png
S09_PCharm001,Iridescent Technician Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S09_PCharm001.png
S09_PCharm002,Iridescent Lithe Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S09_PCharm002.png
S09_PCharm003,Iridescent Alert Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S09_PCharm003.png
S10_PCharm001,Iridescent We're Gonna Live Forever Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S10_PCharm001.png
S10_PCharm002,Iridescent Dead Hard Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S10_PCharm002.png
S10_PCharm003,Iridescent No Mither Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S10_PCharm003.png
S11_PCharm001,Iridescent Dance With Me Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S11_PCharm001.png
S11_PCharm002,Iridescent Windows of Opportunity Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S11_PCharm002.png
S11_PCharm003,Iridescent Boil Over Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S11_PCharm003.png
S12_PCharm001,Iridescent Wake Up! Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S12_PCharm001.png
S12_PCharm002,Iridescent Pharmacy Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S12_PCharm002.png
S12_PCharm003,Iridescent Vigil Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S12_PCharm003.png
S13_PCharm001,Iridescent Tenacity Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S13_PCharm001.png
S13_PCharm002,Iridescent Detective's Hunch Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S13_PCharm002.png
S13_PCharm003,Iridescent Stake Out Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S13_PCharm003.png
S14_PCharm001,Iridescent Diversion Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S14_PCharm001.png
S14_PCharm002,Iridescent Deliverance Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S14_PCharm002.png
S14_PCharm003,Iridescent Autodidact Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S14_PCharm003.png
S15_PCharm001,Iridescent Breakdown Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S15_PCharm001.png
S15_PCharm002,Iridescent Aftercare Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S15_PCharm002.png
S15_PCharm003,Iridescent Distortion Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S15_PCharm003.png
S16_PCharm001,Iridescent Solidarity Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S16_PCharm001.png
S16_PCharm002,Iridescent Poised Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S16_PCharm002.png
S16_PCharm003,Iridescent Head On Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S16_PCharm003.png
S17_PCharm001,Iridescent Flip-Flop Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S17_PCharm001.png
S17_PCharm002,Iridescent Buckle Up Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S17_PCharm002.png
S17_PCharm003,Iridescent Mettle of Man Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S17_PCharm003.png
S18_PCharm001,Iridescent Situational Awareness Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S18_PCharm001.png
S18_PCharm002,Iridescent Self-Aware Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S18_PCharm002.png
S18_PCharm003,Iridescent Inner Healing Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S18_PCharm003.png
S19_PCharm001,Iridescent Guardian Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S19_PCharm001.png
S19_PCharm002,Iridescent Kinship Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S19_PCharm002.png
S19_PCharm003,Iridescent Renewal Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S19_PCharm003.png
S20_PCharm001,Iridescent Lucky Break Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S20_PCharm001.png
S20_PCharm002,Iridescent Any Means Necessary Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S20_PCharm002.png
S20_PCharm003,Iridescent Breakout Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S20_PCharm003.png
S21_PCharm001,Iridescent Off the Record Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S21_PCharm001.png
S21_PCharm002,Iridescent Red Herring Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S21_PCharm002.png
S21_PCharm003,Iridescent For the People Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S21_PCharm003.png
S22_PCharm001,Iridescent Soul Guard Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S22_PCharm001.png
S22_PCharm002,Iridescent Blood Pact Charm,A keepsake gained upon mastery of a particular skill.,,Survivor,Uncommon,images/Customization/PerkCharms/S22_PCharm002.png
